Sales Representative,Location,Region,Customer,Order Date,Product,Quantity,Price,Total Sale Amount
Sara Snyder,Massachusetts,East,Gary Young,1/3/2016,Wilson Jones Active Use Binders,3,17.83,53.49
Randy Watson,New York,East,Anthony Berry,1/3/2016,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,9,17.83,160.47
Patrick Graham,California,West,Joan Robinson,1/3/2016,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2,12.42,24.84
Sara Snyder,New York,,Frank Ramos,1/3/2016,Avery Recycled Flexi-View Covers for Binding Systems,1,16.32,16.32
Diane Gonzalez,Oregon,West,Raymond Matthews,1/3/2016,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1,,
Diane Gonzalez,California,West,Mary Rose,1/3/2016,Poly String Tie Envelopes,10,17.83,178.3
Patrick Graham,Washington,West,,1/3/2016,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9,17.83,160.47
Randy Watson,New Jersey,East,Randy Willis,1/3/2016,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",3,17.83,
Diane Gonzalez,Washington,West,Denise Henry,1/3/2016,Lumber Crayons,9,53.35,480.15
Sara Snyder,New York,East,Albert Miller,1/3/2016,Easy-staple paper,6,12.42,74.52
Patrick Graham,California,West,Evelyn Elliott,1/3/2016,GE 30524EE4,3,53.35,160.05
Frances Warren,Massachusetts,East,Mary Nelson,1/3/2016,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",8,17.83,142.64
Randy Watson,New York,East,,1/3/2016,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",5,17.83,89.15
Randy Watson,New Jersey,East,Victor Bell,1/3/2016,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,16.32,48.96
Randy Watson,Massachusetts,East,Walter Kennedy,1/3/2016,"Global Fabric Manager's Chair, Dark Gray",2,12.42,24.84
Sara Snyder,,East,Anthony Berry,1/3/2016,Plantronics HL10 Handset Lifter,6,16.32,97.92
Randy Watson,Massachusetts,East,William Payne,1/3/2016,Panasonic Kx-TS550,1,12.42,
Diane Gonzalez,Washington,West,Joseph Dixon,1/3/2016,"Eldon Base for stackable storage shelf, platinum",6,53.35,320.1
Patrick Graham,California,West,Andrew Adams,1/4/2016,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1,17.83,17.83
Frances Warren,Connecticut,East,Cheryl Henderson,1/4/2016,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",7,12.42,86.94
Sara Snyder,Connecticut,East,Carlos Stephens,1/4/2016,Wilson Jones Leather-Like Binders with DublLock Round Rings,1,12.42,12.42
Patrick Graham,Washington,West,Daniel Perez,1/4/2016,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",3,12.42,37.26
Frances Warren,Massachusetts,East,Carl Howard,1/4/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,9,17.83,160.47
Randy Watson,Massachusetts,East,Alice Davis,1/4/2016,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",9,12.42,111.78
Diane Gonzalez,Oregon,West,,1/4/2016,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2,17.83,35.66
Sara Snyder,New York,East,Anthony Berry,1/4/2016,Avery 485,4,16.32,65.28
Sara Snyder,New York,East,Betty Stewart,1/4/2016,Longer-Life Soft White Bulbs,10,12.42,124.2
Diane Gonzalez,California,West,Jacqueline Little,1/4/2016,"Global Leather Task Chair, Black",5,12.42,62.1
Patrick Graham,Oregon,West,,1/4/2016,Advantus Push Pins,3,17.83,53.49
Randy Watson,New York,East,,1/4/2016,AT&T CL83451 4-Handset Telephone,9,12.42,111.78
Sara Snyder,Connecticut,East,,1/4/2016,Home/Office Personal File Carts,7,53.35,373.45
Sara Snyder,Connecticut,East,,1/5/2016,Xerox 232,2,16.32,32.64
Sara Snyder,Massachusetts,East,,1/5/2016,Novimex Turbo Task Chair,8,53.35,426.8
Diane Gonzalez,Oregon,West,Phillip Harrison,1/5/2016,"Array Parchment Paper, Assorted Colors",2,12.42,24.84
Diane Gonzalez,,West,Linda Wagner,1/5/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,6,53.35,320.1
Randy Watson,New York,East,Christina Oliver,1/5/2016,Plastic Binding Combs,9,16.32,146.88
Sara Snyder,New York,East,Joseph Ryan,1/5/2016,Prang Dustless Chalk Sticks,6,16.32,97.92
Patrick Graham,Oregon,West,Henry Stanley,1/5/2016,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",5,17.83,89.15
Diane Gonzalez,California,West,Diana Hamilton,1/5/2016,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",4,12.42,49.68
Frances Warren,Massachusetts,East,Kevin Torres,1/5/2016,Xerox 1943,10,17.83,178.3
Randy Watson,Massachusetts,East,Jean Torres,1/5/2016,Luxo Economy Swing Arm Lamp,8,12.42,99.36
Sara Snyder,New York,East,Billy Reed,1/5/2016,"Global Value Mid-Back Manager's Chair, Gray",5,16.32,81.6
Frances Warren,New Jersey,East,Dorothy Baker,1/5/2016,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",6,16.32,97.92
Sara Snyder,Massachusetts,East,Brandon King,1/5/2016,netTALK DUO VoIP Telephone Service,5,17.83,89.15
Frances Warren,New York,East,Ralph Gomez,1/5/2016,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",1,53.35,53.35
,New Jersey,East,Stephen Welch,1/5/2016,,3,53.35,160.05
Patrick Graham,California,West,Harold Duncan,1/6/2016,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",1,17.83,17.83
Frances Warren,New York,East,,1/6/2016,High-Back Leather Manager's Chair,6,53.35,320.1
Sara Snyder,New Jersey,East,,1/6/2016,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",6,12.42,74.52
Sara Snyder,Massachusetts,East,,1/6/2016,Safco Industrial Wire Shelving System,9,12.42,111.78
Patrick Graham,Oregon,West,,1/6/2016,Economy Binders,2,12.42,24.84
Randy Watson,New York,East,,1/6/2016,"6"" Cubicle Wall Clock, Black",3,12.42,37.26
Patrick Graham,California,West,,1/6/2016,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",6,16.32,97.92
Randy Watson,Massachusetts,East,,1/6/2016,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",2,12.42,24.84
Sara Snyder,Massachusetts,East,,1/6/2016,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,12.42,12.42
Randy Watson,Massachusetts,East,,1/6/2016,Avery Heavy-Duty EZD  Binder With Locking Rings,7,53.35,373.45
Randy Watson,Massachusetts,East,,1/6/2016,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1,12.42,12.42
,Massachusetts,East,,1/6/2016,,6,17.83,106.98
Sara Snyder,Massachusetts,East,,1/6/2016,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,4,17.83,71.32
Sara Snyder,New York,East,,1/7/2016,Safco Industrial Wire Shelving,1,12.42,12.42
Frances Warren,Massachusetts,East,,1/7/2016,Novimex Swivel Fabric Task Chair,8,12.42,99.36
Patrick Graham,California,West,Gerald Mcdonald,1/7/2016,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,3,17.83,53.49
Patrick Graham,Washington,West,Ruth Kennedy,1/7/2016,Avery 511,9,53.35,480.15
Diane Gonzalez,Oregon,West,Anna Garcia,1/7/2016,Eldon Portable Mobile Manager,4,12.42,49.68
Patrick Graham,Oregon,West,Gloria Mcdonald,1/7/2016,Turquoise Lead Holder with Pocket Clip,1,12.42,12.42
Patrick Graham,California,West,Adam Martin,1/7/2016,Panasonic Kx-TS550,8,12.42,99.36
Patrick Graham,Washington,West,Philip Rodriguez,1/7/2016,Xerox 1995,4,17.83,71.32
Randy Watson,Massachusetts,East,Steven Kelly,1/7/2016,Xerox 1999,7,12.42,86.94
Sara Snyder,New Jersey,East,Ruth Burton,1/7/2016,"Seth Thomas 13 1/2"" Wall Clock",6,12.42,74.52
Patrick Graham,California,West,Rachel Stanley,1/7/2016,Ibico Standard Transparent Covers,3,12.42,37.26
Diane Gonzalez,California,,Brenda Nelson,1/8/2016,Flexible Leather- Look Classic Collection Ring Binder,8,17.83,142.64
Diane Gonzalez,Oregon,West,Edward Taylor,1/8/2016,9-3/4 Diameter Round Wall Clock,4,12.42,49.68
Diane Gonzalez,Washington,West,Philip Dean,1/8/2016,Trimflex Flexible Post Binders,3,17.83,53.49
Frances Warren,Massachusetts,East,Jerry Butler,1/8/2016,Fellowes Basic Home/Office Series Surge Protectors,7,53.35,373.45
Diane Gonzalez,California,West,Laura Gutierrez,1/8/2016,Avery Personal Creations Heavyweight Cards,7,53.35,373.45
Frances Warren,Massachusetts,East,Andrew Howard,1/8/2016,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,1,16.32,16.32
Frances Warren,New York,East,Joe Ryan,1/8/2016,Avery Hidden Tab Dividers for Binding Systems,4,16.32,65.28
Sara Snyder,Massachusetts,East,Steven Miller,1/8/2016,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),5,17.83,89.15
Randy Watson,New York,East,Christina Little,1/9/2016,Logitech K350 2.4Ghz Wireless Keyboard,7,16.32,114.24
Patrick Graham,Nevada,West,Doris Diaz,1/9/2016,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",4,17.83,71.32
Sara Snyder,Massachusetts,East,Charles Ray,1/9/2016,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",10,17.83,178.3
Patrick Graham,Washington,West,Margaret James,1/9/2016,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,5,12.42,62.1
,New York,East,Virginia Alvarez,1/9/2016,Speck Products Candyshell Flip Case,10,53.35,533.5
Patrick Graham,California,West,Frank Garrett,1/9/2016,Newell Chalk Holder,10,53.35,533.5
Sara Snyder,New Jersey,East,Laura Wells,1/9/2016,Logitech Gaming G510s - Keyboard,8,12.42,99.36
Patrick Graham,Oregon,West,Edward Taylor,1/9/2016,Magnifier Swing Arm Lamp,2,53.35,106.7
Sara Snyder,Connecticut,East,Sara Hawkins,1/9/2016,"Hunt PowerHouse Electric Pencil Sharpener, Blue",8,16.32,130.56
Patrick Graham,Oregon,West,Cynthia Matthews,1/10/2016,"Avery Durable Plastic 1"" Binders",2,12.42,24.84
Patrick Graham,Oregon,West,Kelly Gomez,1/10/2016,"OIC Colored Binder Clips, Assorted Sizes",7,53.35,373.45
Sara Snyder,Massachusetts,East,Raymond Young,1/10/2016,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",3,17.83,53.49
Patrick Graham,Oregon,West,Billy Scott,1/10/2016,Xerox 1921,4,16.32,65.28
Diane Gonzalez,Washington,West,Arthur James,1/10/2016,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",10,17.83,178.3
Randy Watson,New York,East,Ronald Kim,1/10/2016,Hon Racetrack Conference Tables,5,12.42,62.1
Sara Snyder,New York,East,Harold Daniels,1/10/2016,GBC DocuBind 300 Electric Binding Machine,2,12.42,24.84
Patrick Graham,California,West,,1/10/2016,Artistic Insta-Plaque,2,17.83,35.66
Sara Snyder,Massachusetts,East,Phillip Young,1/10/2016,DXL Angle-View Binders with Locking Rings by Samsill,8,17.83,142.64
Sara Snyder,Connecticut,East,Lois Baker,1/11/2016,"Companion Letter/Legal File, Black",5,12.42,62.1
Diane Gonzalez,California,West,Nicholas Schmidt,1/11/2016,Globe Weis Peel & Seel First Class Envelopes,4,16.32,65.28
Sara Snyder,New Jersey,East,Martha Mills,1/11/2016,,7,12.42,86.94
Sara Snyder,New Jersey,East,Cynthia Lewis,1/11/2016,Global Deluxe High-Back Manager's Chair,7,16.32,114.24
Diane Gonzalez,Nevada,West,John Simpson,1/11/2016,Bevis 44 x 96 Conference Tables,5,16.32,81.6
Patrick Graham,California,West,Frances Parker,1/11/2016,"Avery Durable Slant Ring Binders, No Labels",6,17.83,106.98
,New York,East,Kenneth Lane,1/11/2016,,,12.42,
Patrick Graham,Oregon,West,Gloria Fisher,1/11/2016,"Global Task Chair, Black",5,12.42,62.1
Frances Warren,New York,East,Mark Alexander,1/11/2016,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,9,12.42,111.78
Sara Snyder,New York,East,Evelyn Greene,1/11/2016,,6,17.83,106.98
Patrick Graham,Washington,West,Craig Thomas,1/11/2016,Xerox 1916,7,12.42,86.94
Sara Snyder,New York,East,Nancy Scott,1/11/2016,,8,53.35,426.8
Sara Snyder,New Jersey,East,Johnny Fowler,1/12/2016,Xerox 195,9,53.35,480.15
Sara Snyder,Massachusetts,East,Cheryl Williamson,1/12/2016,Xerox 1880,,12.42,62.1
Diane Gonzalez,Washington,West,Joseph Willis,1/12/2016,"Sanford Colorific Colored Pencils, 12/Box",10,17.83,178.3
Diane Gonzalez,California,West,Beverly Jacobs,1/12/2016,,3,12.42,37.26
Randy Watson,New Jersey,East,Benjamin Willis,1/12/2016,GBC Wire Binding Strips,3,17.83,53.49
Diane Gonzalez,Nevada,West,Donna Williams,1/12/2016,Fiskars Softgrip Scissors,8,12.42,99.36
Patrick Graham,Washington,West,Ernest Hernandez,1/12/2016,Longer-Life Soft White Bulbs,8,16.32,130.56
Sara Snyder,New Jersey,East,Benjamin Spencer,1/12/2016,,8,53.35,426.8
Randy Watson,New York,East,Kimberly Adams,1/12/2016,Newell 343,9,53.35,480.15
Randy Watson,New Jersey,East,Ernest Bishop,,,6,12.42,74.52
Patrick Graham,Oregon,West,Kevin Garza,1/12/2016,Xerox 1911,4,12.42,49.68
Patrick Graham,Washington,West,Jason Berry,1/13/2016,,6,17.83,106.98
Sara Snyder,Massachusetts,East,Martha Brown,1/13/2016,,9,16.32,146.88
Randy Watson,New Jersey,East,Russell Day,1/13/2016,"Seth Thomas 14"" Putty-Colored Wall Clock",10,16.32,163.2
Sara Snyder,New Jersey,East,Sean Weaver,1/13/2016,Plantronics Cordless Phone Headset with In-line Volume - M214C,6,12.42,74.52
Sara Snyder,Massachusetts,East,Deborah Wells,1/13/2016,Anker Astro 15000mAh USB Portable Charger,1,12.42,12.42
Sara Snyder,New York,East,Sandra Hicks,1/13/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1,16.32,16.32
Sara Snyder,New York,East,Gloria Harper,1/13/2016,GBC Prestige Therm-A-Bind Covers,9,53.35,480.15
Patrick Graham,California,West,Beverly Jacobs,1/13/2016,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5,17.83,89.15
Sara Snyder,Connecticut,East,,1/13/2016,Jabra BIZ 2300 Duo QD Duo Corded Headset,9,12.42,111.78
Patrick Graham,Oregon,West,Sharon Rice,1/13/2016,Southworth 25% Cotton Antique Laid Paper & Envelopes,6,53.35,320.1
Frances Warren,Massachusetts,East,Harold Schmidt,1/13/2016,Xerox 1883,2,53.35,106.7
Patrick Graham,Oregon,West,Sharon Wagner,1/13/2016,"Tenex Personal Project File with Scoop Front Design, Black",8,53.35,426.8
Sara Snyder,Massachusetts,East,Carl Howard,1/13/2016,Newell 311,10,53.35,533.5
Sara Snyder,Massachusetts,East,Matthew Carter,1/13/2016,Global Deluxe High-Back Manager's Chair,5,12.42,62.1
Sara Snyder,New York,East,Lillian Wood,1/13/2016,Avery 519,6,16.32,97.92
Diane Gonzalez,Oregon,West,Terry Pierce,1/13/2016,Avaya 5420 Digital phone,5,17.83,89.15
Randy Watson,Massachusetts,East,Kenneth Nelson,1/13/2016,Xerox 1920,5,12.42,62.1
Diane Gonzalez,California,West,Jacqueline Little,,Lenovo 17-Key USB Numeric Keypad,10,12.42,124.2
Randy Watson,New Jersey,East,David Allen,1/13/2016,Staple envelope,3,53.35,160.05
Randy Watson,Massachusetts,East,Wanda Cole,1/13/2016,Wilson Jones International Size A4 Ring Binders,6,12.42,74.52
Randy Watson,New York,East,Anthony Berry,1/14/2016,BIC Brite Liner Highlighters,6,53.35,320.1
Sara Snyder,Connecticut,East,Anna Franklin,1/14/2016,Lexmark MX611dhe Monochrome Laser Printer,4,12.42,49.68
Diane Gonzalez,Washington,West,Gary Weaver,1/14/2016,Space Solutions HD Industrial Steel Shelving.,9,16.32,146.88
Sara Snyder,New Jersey,East,David Allen,1/14/2016,SAFCO Arco Folding Chair,9,12.42,111.78
Randy Watson,New York,East,Juan Wallace,1/14/2016,Sanford Liquid Accent Highlighters,9,12.42,111.78
Diane Gonzalez,California,West,Kelly Wagner,1/14/2016,Kensington 7 Outlet MasterPiece Power Center,1,12.42,12.42
Frances Warren,Massachusetts,East,Alice Davis,1/14/2016,JBL Micro Wireless Portable Bluetooth Speaker,2,12.42,24.84
Sara Snyder,New York,East,Craig Mcdonald,1/14/2016,,5,17.83,89.15
Patrick Graham,Washington,West,Gary Cook,1/14/2016,Xerox 1913,8,53.35,426.8
Diane Gonzalez,Washington,West,,1/14/2016,"Global Value Steno Chair, Gray",6,12.42,74.52
Randy Watson,New York,East,Wayne Rivera,1/15/2016,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,3,12.42,37.26
Sara Snyder,New York,East,Maria Johnston,1/15/2016,Avery 51,6,17.83,106.98
Randy Watson,Massachusetts,East,Louise Rivera,1/15/2016,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",7,53.35,373.45
Sara Snyder,Massachusetts,East,Heather Lawrence,1/15/2016,"Padded Folding Chairs, Black, 4/Carton",3,17.83,53.49
Frances Warren,New York,East,Jessica Lewis,1/15/2016,Acme Rosewood Handle Letter Opener,3,17.83,53.49
Sara Snyder,New York,East,Lois Castillo,1/15/2016,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",7,17.83,124.81
Frances Warren,Massachusetts,East,Thomas Robinson,1/15/2016,"Tenex File Box, Personal Filing Tote with Lid, Black",10,53.35,533.5
Patrick Graham,California,West,Diana Hamilton,1/15/2016,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,5,12.42,62.1
Patrick Graham,California,West,Tina Schmidt,,AT&T TR1909W,4,12.42,49.68
Diane Gonzalez,California,West,Martha Bell,1/15/2016,Nokia Lumia 521 (T-Mobile),6,53.35,320.1
Diane Gonzalez,California,West,Rachel Stanley,1/15/2016,HP Standard 104 key PS/2 Keyboard,10,12.42,124.2
Sara Snyder,New Jersey,East,Marilyn Patterson,1/16/2016,Avery Poly Binder Pockets,5,17.83,89.15
Sara Snyder,New Jersey,East,Joshua Washington,1/16/2016,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,10,12.42,124.2
Frances Warren,New York,East,Christopher Oliver,1/16/2016,"Personal Filing Tote with Lid, Black/Gray",8,12.42,99.36
Sara Snyder,New Jersey,East,Maria Hughes,1/16/2016,Southworth 25% Cotton Antique Laid Paper & Envelopes,10,12.42,124.2
Patrick Graham,Washington,West,Marilyn Carpenter,1/16/2016,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",9,12.42,111.78
Sara Snyder,Massachusetts,East,Theresa Ellis,1/16/2016,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,5,53.35,266.75
Sara Snyder,Massachusetts,East,Linda Morrison,1/16/2016,Xerox 205,2,12.42,24.84
Sara Snyder,Massachusetts,East,Linda Morrison,1/16/2016,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",9,53.35,480.15
Sara Snyder,New York,East,Anthony Berry,1/16/2016,4009 Highlighters by Sanford,5,17.83,89.15
Sara Snyder,Connecticut,East,,1/16/2016,Poly String Tie Envelopes,4,12.42,49.68
Sara Snyder,New York,East,Brenda Cruz,1/16/2016,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",8,53.35,426.8
Patrick Graham,Washington,West,Arthur Green,1/16/2016,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",4,12.42,49.68
Diane Gonzalez,California,West,Walter Reed,1/16/2016,,7,12.42,86.94
Sara Snyder,New York,East,Evelyn Greene,1/16/2016,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",5,12.42,62.1
Sara Snyder,New York,East,Bonnie Wagner,1/17/2016,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",8,17.83,142.64
Frances Warren,New York,East,Joan Harvey,1/17/2016,Southworth 25% Cotton Linen-Finish Paper & Envelopes,7,12.42,86.94
Sara Snyder,New Jersey,East,Joshua Washington,1/17/2016,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,4,16.32,65.28
Frances Warren,Massachusetts,East,Phillip Young,1/17/2016,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",10,12.42,124.2
Randy Watson,New York,East,Jeffrey Miller,1/17/2016,Eureka Sanitaire  Commercial Upright,1,53.35,53.35
Patrick Graham,California,West,Robin Murphy,1/17/2016,"Eldon 200 Class Desk Accessories, Burgundy",9,16.32,146.88
Patrick Graham,Oregon,West,Brian Bryant,1/17/2016,Nortel Business Series Terminal T7208 Digital phone,5,16.32,81.6
Randy Watson,New York,East,Billy Reed,,"Tennsco Lockers, Gray",5,17.83,89.15
Patrick Graham,California,West,Kathy Porter,1/17/2016,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,5,12.42,62.1
Sara Snyder,Massachusetts,East,Jean Torres,1/17/2016,"Avery Durable Slant Ring Binders, No Labels",5,12.42,62.1
Randy Watson,New York,East,Jimmy Bailey,1/17/2016,"Advantus Push Pins, Aluminum Head",2,12.42,24.84
Patrick Graham,Oregon,West,Jean Griffin,1/17/2016,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",10,12.42,124.2
Frances Warren,New Jersey,East,Sean Weaver,1/18/2016,Memorex Micro Travel Drive 8 GB,9,53.35,480.15
Diane Gonzalez,California,West,Frances Parker,1/18/2016,Avery 505,1,16.32,16.32
Sara Snyder,Massachusetts,East,Michael Foster,1/18/2016,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4,12.42,49.68
Randy Watson,Massachusetts,East,Cheryl Myers,1/18/2016,Speck Products Candyshell Flip Case,6,12.42,74.52
Frances Warren,Massachusetts,East,Jerry Palmer,1/18/2016,Cisco 9971 IP Video Phone Charcoal,5,17.83,89.15
Sara Snyder,New Jersey,East,Cynthia Mccoy,1/18/2016,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,4,53.35,213.4
Diane Gonzalez,Washington,West,Charles Collins,1/18/2016,"Personal Filing Tote with Lid, Black/Gray",6,12.42,74.52
Sara Snyder,,East,Juan Reed,1/18/2016,Adtran 1202752G1,9,12.42,111.78
Diane Gonzalez,Washington,West,Gary Cook,1/18/2016,OIC Bulk Pack Metal Binder Clips,2,16.32,32.64
Sara Snyder,Massachusetts,East,Carolyn Scott,1/18/2016,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",10,16.32,163.2
Sara Snyder,Massachusetts,East,Martha Brown,1/18/2016,Ibico Standard Transparent Covers,6,16.32,97.92
Sara Snyder,New Jersey,East,Adam Russell,1/18/2016,"Executive Impressions 14"" Two-Color Numerals Wall Clock",1,12.42,12.42
Sara Snyder,New York,East,Debra Allen,1/18/2016,,1,12.42,12.42
Patrick Graham,Washington,West,Lisa Morrison,1/18/2016,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2,17.83,35.66
Patrick Graham,Washington,West,Gary Weaver,1/18/2016,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",4,16.32,65.28
Sara Snyder,New York,East,Ashley Spencer,1/18/2016,Bevis 36 x 72 Conference Tables,3,17.83,53.49
Patrick Graham,Washington,West,Jerry Davis,1/19/2016,Rogers Deluxe File Chest,7,17.83,124.81
Sara Snyder,Massachusetts,East,Alice Kelly,1/19/2016,Global Low Back Tilter Chair,4,53.35,213.4
Randy Watson,Massachusetts,East,Rose Baker,1/19/2016,,10,17.83,178.3
Frances Warren,,,Kevin Torres,1/19/2016,GBC Instant Index System for Binding Systems,4,16.32,65.28
,New York,East,Joshua Campbell,1/19/2016,Bush Advantage Collection Round Conference Table,10,17.83,178.3
,New York,East,Joshua Campbell,1/19/2016,,10,12.42,124.2
Randy Watson,Massachusetts,East,Harold Schmidt,1/19/2016,GBC Instant Index System for Binding Systems,2,12.42,24.84
Patrick Graham,Washington,West,Jeremy Baker,1/19/2016,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",8,12.42,99.36
